Game Title,Genre(s),User Rating (out of 100),Year,Summary,Director,Starring,Certificate
Asteroids,"Action, Sci-Fi",%,1987.0,No information filled,unspecified,unspecified,Unrated
Imperial Saga,Action,N/A%,2015.0,No information filled,unspecified,unspecified,unspecified
Office Freakout,Action,N/A%,2016.0,No information filled,unspecified,unspecified,unspecified
Sebring,Action,N/A%,unspecified,No information filled,unspecified,unspecified,unspecified
Tiny Talos,"Action, Adventure",N/A%,2021.0,"Tiny Talos is the exploration-focused adventure of Talos, a miniature robot with an aptitude for cleaning. The player can climb, fly, or jet through a large house, discovering its secrets along the way.",unspecified,unspecified,unspecified
Solomon's Ring: Hi no shou,Action,N/A%,2012.0,No information filled,unspecified,unspecified,unspecified
Type-104,"Action, Sci-Fi",N/A%,1981.0,No information filled,unspecified,unspecified,unspecified
Galaxiad Invaders Part III,"Action, Sci-Fi",N/A%,1980.0,No information filled,unspecified,unspecified,unspecified
Ice Climber,Action,N/A%,1985.0,No information filled,unspecified,unspecified,unspecified
Game Room,Action,49%,2010.0,Customize your own virtual arcade and play dozens of classic video games.,unspecified,unspecified,E10+
Hamster Logic 3D,"Action, Adventure",N/A%,2021.0,No information filled,unspecified,"Rasmus Ladegaard, Alan Smithee",unspecified
Bit Boy! Arcade Deluxe,Action,N/A%,2017.0,No information filled,unspecified,unspecified,unspecified
Sanxion,Action,N/A%,1986.0,No information filled,unspecified,Stavros Fasoulas,unspecified
V.D.: Vanishment Day,Action,N/A%,2014.0,No information filled,unspecified,unspecified,unspecified
America,Action,N/A%,2001.0,"America is a real-time strategy game. The player may choose to control a group of either settlers, Native Americans, Mexicans or outlaws of that time.",unspecified,unspecified,unspecified
Red Shark,"Action, War",N/A%,2002.0,"To control ""Red Shark"" you only need some experience in third person shooter game play. In this game you are to complete 15, thoroughly planned by Russian special forces, missions of point correction of the past.",unspecified,"Vlad Suglobov, Alexander Tabunov",M
Solomon's Ring: Mizu no shou,Action,N/A%,2013.0,No information filled,unspecified,unspecified,unspecified
Red Alert,Action,N/A%,2019.0,No information filled,unspecified,AJ Donnelly,unspecified
Buccaneers,"Action, Adventure",N/A%,1989.0,No information filled,unspecified,unspecified,unspecified
Catscratch This Means War!,"Animation, Action, War",N/A%,2006.0,No information filled,unspecified,unspecified,unspecified
Bullet Voyage,Action,N/A%,2018.0,No information filled,unspecified,unspecified,unspecified
Taskete,"Action, Sci-Fi",N/A%,1980.0,No information filled,unspecified,unspecified,unspecified
Shuttle Invader Part II,"Action, Sci-Fi",N/A%,1979.0,No information filled,unspecified,unspecified,unspecified
Hunter's Moon,Action,N/A%,1987.0,No information filled,unspecified,unspecified,unspecified
Cross Shooter,Action,N/A%,1987.0,No information filled,unspecified,unspecified,unspecified
The Chaser,Action,N/A%,2019.0,No information filled,unspecified,unspecified,unspecified
Avoid,Action,N/A%,2010.0,No information filled,unspecified,Nametake,unspecified
Outbuddies Dx,Action,N/A%,2019.0,"Run, gun and explore an open under city in this otherworldly non-linear Metroidvania adventure about the Old Gods, strange creatures and the remnants of a lost world.",unspecified,unspecified,unspecified
BattleTech: Flashpoint,"Action, Adventure, Sci-Fi",N/A%,2018.0,No information filled,unspecified,Jordan Weisman,unspecified
Sengoku gensoukyoku,Action,N/A%,2012.0,No information filled,unspecified,unspecified,unspecified
