Game Title,Genre(s),User Rating (out of 100),Year,Summary,Director,Starring,Certificate
Klonoa: Empire of Dreams,"Action, Adventure, Family",72%,2001.0,"In this GBA-exclusive adventure, Klonoa finds himself at the mercy of an insomniac emperor who wants to ban dreaming, To win his freedom, Klonoa must traverse 40 stages of platforming and puzzling action, and even hover boarding",unspecified,"Taisuke Ishida, Masashi Koyanagi, Junichi Ono",E
Dynasty Warriors,Action,64%,2004.0,No information filled,unspecified,Kenichi Ogasawara,unspecified
Lawak Kampus: Dimension Drift,Action,N/A%,2016.0,No information filled,unspecified,unspecified,unspecified
Galak-Z: The Dimensional,Action,57%,2015.0,This hand painted intergalactic adventure takes you to the ends of the universe to fight enemies in new ways. Inspired by the classic sci-fi anime of the late 1970s and early 1980s as well as more modern shooters.,unspecified,"Sarah Elmaleh, Michael Sinterniklaas",unspecified
Ridge Racer,"Action, Sport",61%,2011.0,No information filled,unspecified,unspecified,E10+
Kirby Fighters Deluxe,"Action, Adventure, Family",69%,2014.0,"Duke it out with your favorite pink puffball in a fierce 4-player battle action game, Based on the wild battle mode introduced in Kirby: Triple Deluxe, this standalone game contains expanded gameplay features, new arenas and more.",Shinya Kumazaki,"Makiko Ômoto, Shinya Kumazaki",E
Mercenary Kings,"Action, Adventure, War",58%,2014.0,Craft your arsenal to avenge your fallen comrades and save the world from the fearsome forces of CLAW.,unspecified,unspecified,T
Defense of the Ancients,"Action, Fantasy",N/A%,2003.0,Play a 3v3 moba game as Sentinels vs the Scourge in an attempt to seize each other's bases through brute force and skill.,unspecified,unspecified,unspecified
James Bond 007 in the Caribbean Sea,"Action, Adventure, Thriller",N/A%,1985.0,No information filled,unspecified,unspecified,unspecified
Samurai Showdown V Special,"Action, Adventure",72%,2004.0,"Acting as both an instant kill mechanic (when your opponent has a little bit of health left during the final round), and a fatality, these Overkill moves result in some cinematic and bloody specials.",unspecified,"Toshimitsu Arai, Kyôko Hikami, Harumi Ikoma, Shizuka Itou",unspecified
Chase H.Q.,"Action, Crime",67%,1988.0,A car chase video game in which you must run suspected criminals off the road.,unspecified,unspecified,unspecified
Senran Kagura: Bon Appétit!,Action,N/A%,2014.0,The busty shinobi of Senran Kagura exchange their kunais for kitchen knives in this epic cooking/rhythm showdown.,Ken'ichiro Takaki,"Yu Asakawa, Keiji Fujiwara, Saori Gotô, Yumi Hara",M
Motos,"Action, Sci-Fi",61%,1985.0,"Use your bumper ship, Motos, to knock the space bugs off the map.",unspecified,unspecified,unspecified
Metal Saga,"Action, Adventure, Comedy",N/A%,2005.0,No information filled,unspecified,"Masato Kimura, Satoru Komiya, Mizuho Sasa",T
Power Rangers Beast Morphers,"Action, Adventure",N/A%,2021.0,No information filled,James Deighan,"Nate Flynn, Nick Mann, Andrew Marsh",unspecified
Hot Wheels: Beat That!,Action,56%,2007.0,"Collect Hot wheels cars and race them against opponents and the clock with thrills, spills, loops and corkscrew.",Patty Masai,Ken Scott,E
Gwent: Homecoming,"Action, Adventure, Fantasy",73%,2018.0,No information filled,Jason Slama,"Jan Aleksandrowicz-Krasko, Anna Apostolakis, Piotr Bak, Krzysztof Banaszyk",unspecified
Arctic Thunder,"Action, Sport",72%,2001.0,No information filled,unspecified,"Rob Berry, Rich Carle, Vince Pontarelli, Hernan Sanchez",T
I Need a Hero,Action,N/A%,2015.0,No information filled,Mario Ruiz,"Johnny Athas, Jermaine Bailey",unspecified
miniDoom 2,Action,N/A%,2018.0,A fan game that pays homage to the Doom franchise by reimagining it as a 2d retro platformer.,Felipe Porcel,Salvador Sambiasi,unspecified
Project Warlock,"Action, Adventure, Fantasy",62%,2018.0,"Project Warlock is a first person shooter that serves you an exploding cocktail of bullets, spells and monsters, Battle through 60 levels of non stop action packed with bloodthirsty enemies and challenging bosses.",unspecified,Jakub Cislo,M
Lethal Enforcers I & II,Action,N/A%,1997.0,Compilation game containing both Lethal Enforcers I and II.,unspecified,"Laura Fanella, Bonnie Gells, Kay Wolf Jones, Jennifer Lenarz",M
Project Mikhail: A Muv-Luv War Story,"Action, Sci-Fi",N/A%,2021.0,No information filled,unspecified,"Koichi Kamiki, Karin Nanami, Miku Itou, Iori Saeki",unspecified
Best of Bond Car Pack,"Animation, Action, Adventure",79%,2018.0,No information filled,unspecified,unspecified,unspecified
Diamond Twister 2,"Action, Adventure",N/A%,2011.0,"The new diamond standard for casual puzzle action, Diamond Twister 2 brings all the gem-swapping fun back with 10 unique gameplay mechanics, power-ups and a story set in the jet-set world.",unspecified,Stanislas Dewavrin,E
Toy Story 2,"Action, Adventure, Family",%,1999.0,No information filled,unspecified,John Prince,E
"Sakura Wars 4: Fall in Love, Maidens","Action, Romance, Sci-Fi",N/A%,2002.0,"Ichiro Ogami returns to Japan after having defeated the evil that threatened Paris. Something is once again wrong in the Imperial Capital, as two street cars go berserk without any reason, saved only by the mech-commanding girls of the Hanagumi Brigade. The girls from Paris Kagekidan return to join forces with the original cast, to help Ichiro defeat evil one more time.",Katsuhiko Goto,"Yuriko Fuchizaki, Noriko Hidaka, Kyôko Hikami, Masaru Ikeda",unspecified
Gauntlet,"Action, Adventure, Fantasy",67%,1988.0,It's time again for the four warriors to gear up and head out on a new quest. Their mission this time is to retrieve the Sacred Orb of Rendar that was stolen by the nefarious Morak. He has hidden the Orb along with many other treasures in his Five Worlds maze. He of course has his many minions guarding his ill gotten riches.,unspecified,Earl Vickers,unspecified
Superdimension Neptune vs. Sega Hard Girls,"Action, Fantasy",56%,2015.0,"An ancient war between Sega Hard Girls and Goddesses ravaged the world. The adventurer, IF, journeys across the wasteland and finds the Grand Library, a facility that grants her the power to travel back in time. Will she be able to use this power to unite the warring factions and restore peace to the world?",unspecified,"Emi Nitta, Kana Hanazawa, Kana Ueda, Mao Ichimichi",T
Touhou Kobuto V: Burst Battle,Action,32%,2017.0,"Touhou Kobuto V: Burst Battle is a bullet-hell battle game that takes place in the Touhou universe. Take control of one of nine Touhou characters and eliminate your opponent using bullet-hell patterns, melee attacks, or spell cards. Featuring ear-tingling beats for each character, you might just find yourself dancing while you play.",unspecified,"Corina Boettger, Skyler Davenport, Brittney Karbowski, Andrea Libman",unspecified
Planet Explorers,"Action, Adventure, Sci-Fi",%,2016.0,"In Planet Explorers, it is the year 2287, one of the first colony ships sent out by Earth arrives at the planet Maria, in the Epsilon Indi Star System. During its landing sequence, something appears in front of the massive ship that causes it to lose control and crash into the planet.",Zifei Wu,"Vincent van Ommen, Anthony Sardinha, Brittany Morgan Williams, Aimee Smith",unspecified
Parodius: The Octopus Saves the Earth,"Action, Comedy, Family",89%,1988.0,"Parodius: Tako wa Chikyû o Sukuu also known as Parodius: The Octopus Saves the Earth is the first installment in Parodius series, As the name implies the game is a portmanteau of ""Gradius"" video game series and the word ""Parody"" and, eponymously, the game is a parody of the Gradius series of space-based horizontally scrolling shooters. Many of the characters and enemies are derived from that famous shooter series, while other elements are extracted from other Konami titles.",unspecified,unspecified,E
Caveman Zac,"Animation, Action, Comedy",N/A%,2004.0,A virus has turned almost all cavemen impotent and dinosaurs gay. Caveman Zac must collect hormones to get intimate with caveladies through 12 levels in this animated 2d sex comedy platformer but also avoid the rapey dinosaurs.,unspecified,unspecified,unspecified
Rune,"Action, Adventure, Fantasy",76%,2000.0,"Rune is an action-adventure video game developed by Human Head Studios. The game is based on Ragnarok, showing the conflict between the Gods Odin and Loki and the buildup to Ragnarok.",unspecified,Timothy S. Gerritsen,T
Spear of Destiny: The Kaiseki,"Action, Adventure",49%,2017.0,This fantastic ancient world has been Invaded by powerful enemies who rule in the dark. Several centuries have passed since Light's Lords defeated.,unspecified,Gilson B. Pontes,T
Wild Arms Alter Code: F,"Action, Adventure, Western",78%,2003.0,A remake of the first Wild Arms but it has an expanded story and new characters and new puzzles.,unspecified,Nobukazu Satoh,T
Chrome SpecForce,"Action, Adventure, Sci-Fi",64%,2005.0,No information filled,unspecified,unspecified,unspecified
Hellsplit arena,Action,%,2019.0,No information filled,unspecified,unspecified,M
Undead Shotgun Reloaded,Action,N/A%,2018.0,No information filled,unspecified,MetalManGames,M
Monster Zero,"Action, Fantasy",N/A%,unspecified,No information filled,unspecified,unspecified,unspecified
Super Space Invaders '91,"Action, Sci-Fi",56%,1990.0,Port of the coin-operated 'Space Invaders' with a few extra features.,unspecified,Ichiro Fujisue,unspecified
Accel World: End of Burst,Action,N/A%,2017.0,No information filled,unspecified,unspecified,unspecified
Bad Dudes,Action,67%,1988.0,"Two street fighters must battle their way past hordes of attacking enemies in their pursuit to defeat the evil Dragon Ninja and rescue president Ronald Reagan. Players must defeat end-of-level bosses, one of which is Karnov himself!",unspecified,unspecified,Unrated
Star Trek: Phaser Strike,"Action, Sci-Fi",N/A%,1979.0,"Star Trek: Phaser Strike is a shoot 'em up video game that was published by Milton Bradley in 1979, and released for the Microvision at the same time as the film Star Trek: The Motion Picture.",unspecified,unspecified,unspecified
Shovel Knight Dig,"Action, Adventure, Fantasy",74%,2022.0,"When Drill Knight and his dastardly digging crew blast apart Shovel Knight's peaceful campsite and steal his loot, he grabs his trusty Shovel Blade and starts tunneling after them.",unspecified,unspecified,E10+
Stolen,Action,56%,2005.0,"You play as Anya Romanov, a thief living in a not too distant future. You and your partner in crime, Louie Palmer, have recently landed a job to steal a statue that's been placed in a museum for an exhibition.",unspecified,unspecified,T
Zombie Nation,Action,53%,1990.0,"A shoot 'em up game for the Nintendo NES in which the floating samurai head, Namakubi, goes to the United States to recover the samurai sword, Shura, and destroy the alien, Darc Seed, and its minions.",unspecified,Norio Nakagata,unspecified
Danny Trejo's Vengeance: Woz with a Coz,Action,74%,2012.0,The game is a retro-style action platformer where you play as the duo of Wozniak and tough-guy actor Danny Trejo to rescue Wozniak's wife.,Gil Medina,"Baby Bash, Rashad Evans, Rylee, Danny Trejo",unspecified
Last Duel: Inter Planet War 2012,"Action, Sci-Fi",59%,1988.0,No information filled,unspecified,Takashi Nishiyama,unspecified
Kenran Otome Girls Striker,Action,N/A%,2015.0,No information filled,unspecified,unspecified,unspecified
The Sky Crawlers: Innocent Aces,"Action, Drama, Sci-Fi",N/A%,2008.0,No information filled,Nobuo Tomita,"Heather Hogan, Grant George, Yuri Lowenthal, Vic Mignogna",T
Hexen II,"Action, Adventure, Fantasy",73%,1997.0,"After Heretic and Hexen, the third and final Serpent Rider, Eidolon, besieges the world of Thyrion. Only four brave souls; a Paladin, a Crusader, an Assassin and a Necromancer can face him and the Four Horsemen of the apocalypse.",unspecified,unspecified,unspecified
Pocky & Rocky,"Action, Adventure, Fantasy",81%,1992.0,"You play as Pocky, a young miko girl who is a member of a group of creatures known as the Nopino Goblins, Some time ago, the Nopino Goblins went insane, So now It's up Pocky to stop the Nopino Goblins once and for all.",unspecified,unspecified,E
Shadow Chibi: Dragon Ball Z,Action,N/A%,2016.0,"Shadow Chibi: Dragon Ball Z is a 2D action fighting game taking place in the same universe as the original Dragon Ball Z saga. From Buu all the way to Cell and beyond, battle dozens of enemies known formerly in the manga.",Thu Bon Nguyen,"Domenick DeFrank, Thu Bon Nguyen, Steven Tera, Derrick Asan",T
